Admin1,Crop,Area,Rank,Label
Tanga,total _vop,257509990.591309,1,Tanga-9-1
Tanga,cereals _vop,68023725.4404297,2,Tanga-4-2
Tanga,pulses _vop,40998416.3882599,3,Tanga-6-3
Tanga,bean _vop,37813055.7565918,4,Tanga-2-4
Tanga,cassava _vop,34086464.3002472,5,Tanga-3-5
Tanga,banana_and_plantain _vop,33288824.6745758,6,Tanga-1-6
Tanga,rice _vop,16802452.4858704,7,Tanga-7-7
Tanga,groundnut _vop,865869.902973175,8,Tanga-5-8
Tanga,sorghum _vop,792460.398296356,9,Tanga-8-9
Tanga,wheat _vop,49482.0998077393,10,Tanga-10-10
Tabora,total _vop,445126931.665405,1,Tabora-9-1
Tabora,cereals _vop,101307278.672325,2,Tabora-4-2
Tabora,groundnut _vop,99039253.3234901,3,Tabora-5-3
Tabora,rice _vop,46841693.7580261,4,Tabora-7-4
Tabora,pulses _vop,21307496.3794708,5,Tabora-6-5
Tabora,bean _vop,16347117.4778519,6,Tabora-2-6
Tabora,cassava _vop,16239497.9046631,7,Tabora-3-7
Tabora,sorghum _vop,4964489.10590935,8,Tabora-8-8
Tabora,banana_and_plantain _vop,14429.2998046875,9,Tabora-1-9
Tabora,wheat _vop,0,,Tabora-10-NA
Songwe,total _vop,205773938.632629,1,Songwe-9-1
Songwe,cereals _vop,76777235.975296,2,Songwe-4-2
Songwe,pulses _vop,40717553.5066452,3,Songwe-6-3
Songwe,bean _vop,40099572.682991,4,Songwe-2-4
Songwe,rice _vop,15106238.8023891,5,Songwe-7-5
Songwe,groundnut _vop,13043659.9172363,6,Songwe-5-6
Songwe,banana_and_plantain _vop,6027813.34038162,7,Songwe-1-7
Songwe,cassava _vop,5213444.4937439,8,Songwe-3-8
Songwe,sorghum _vop,5052080.88972473,9,Songwe-8-9
Songwe,wheat _vop,74823.1008310318,10,Songwe-10-10
Singida,total _vop,242163241.081986,1,Singida-9-1
Singida,cereals _vop,49686290.1065674,2,Singida-4-2
Singida,pulses _vop,36106622.5126801,3,Singida-6-3
Singida,bean _vop,15732151.7359238,4,Singida-2-4
Singida,sorghum _vop,14514750.893959,5,Singida-8-5
Singida,cassava _vop,11077875.2071114,6,Singida-3-6
Singida,groundnut _vop,6901653.09527588,7,Singida-5-7
Singida,rice _vop,1680371.59949493,8,Singida-7-8
Singida,wheat _vop,1199.19995117188,9,Singida-10-9
Singida,banana_and_plantain _vop,168.899993896484,10,Singida-1-10
Simiyu,total _vop,239908127.664887,1,Simiyu-9-1
Simiyu,cereals _vop,77568061.0421944,2,Simiyu-4-2
Simiyu,pulses _vop,45200067.5101547,3,Simiyu-6-3
Simiyu,rice _vop,39948874.8282509,4,Simiyu-7-4
Simiyu,cassava _vop,11846841.1799469,5,Simiyu-3-5
Simiyu,sorghum _vop,10861028.4914265,6,Simiyu-8-6
Simiyu,bean _vop,7751172.40711975,7,Simiyu-2-7
Simiyu,groundnut _vop,6900601.21677399,8,Simiyu-5-8
Simiyu,banana_and_plantain _vop,166713.598754883,9,Simiyu-1-9
Simiyu,wheat _vop,0,,Simiyu-10-NA
Shinyanga,total _vop,199563580.328125,1,Shinyanga-9-1
Shinyanga,cereals _vop,74080733.6638184,2,Shinyanga-4-2
Shinyanga,rice _vop,34338345.9508057,3,Shinyanga-7-3
Shinyanga,pulses _vop,28079098.4226074,4,Shinyanga-6-4
Shinyanga,groundnut _vop,22083692.8313599,5,Shinyanga-5-5
Shinyanga,bean _vop,20695922.8583984,6,Shinyanga-2-6
Shinyanga,cassava _vop,12191318.5955811,7,Shinyanga-3-7
Shinyanga,sorghum _vop,3842037.49274063,8,Shinyanga-8-8
Shinyanga,banana_and_plantain _vop,28.2000007629395,9,Shinyanga-1-9
Shinyanga,wheat _vop,0,,Shinyanga-10-NA
Ruvuma,total _vop,208510794.156464,1,Ruvuma-9-1
Ruvuma,cereals _vop,93694369.028038,2,Ruvuma-4-2
Ruvuma,rice _vop,44520667.1099701,3,Ruvuma-7-3
Ruvuma,pulses _vop,24016180.3244781,4,Ruvuma-6-4
Ruvuma,bean _vop,20150913.1191177,5,Ruvuma-2-5
Ruvuma,cassava _vop,17772326.0661411,6,Ruvuma-3-6
Ruvuma,banana_and_plantain _vop,4147571.48019409,7,Ruvuma-1-7
Ruvuma,groundnut _vop,3958910.50305176,8,Ruvuma-5-8
Ruvuma,sorghum _vop,691138.601476669,9,Ruvuma-8-9
Ruvuma,wheat _vop,150892.399700165,10,Ruvuma-10-10
Rukwa,total _vop,280158234.406494,1,Rukwa-9-1
Rukwa,cereals _vop,89058705.6527176,2,Rukwa-4-2
Rukwa,pulses _vop,61112428.3584518,3,Rukwa-6-3
Rukwa,bean _vop,60269427.6187439,4,Rukwa-2-4
Rukwa,rice _vop,29551724.6033764,5,Rukwa-7-5
Rukwa,banana_and_plantain _vop,18887350.4367409,6,Rukwa-1-6
