Admin2,Crop,Area,Admin1
Arusha,banana_and_plantain _vop,3477018.34375,Arusha
Arusha,bean _vop,1375376.37890625,Arusha
Arusha,cassava _vop,75242.8002929688,Arusha
Arusha,cereals _vop,4782633.32971191,Arusha
Arusha,groundnut _vop,0,Arusha
Arusha,pulses _vop,3506979.80859375,Arusha
Arusha,rice _vop,2004869.4140625,Arusha
Arusha,sorghum _vop,243264.700805664,Arusha
Arusha,total _vop,29895046.2441406,Arusha
Arusha,wheat _vop,0,Arusha
Arusha Urban,banana_and_plantain _vop,105163.703125,Arusha
Arusha Urban,bean _vop,190113.4921875,Arusha
Arusha Urban,cassava _vop,24098.9000244141,Arusha
Arusha Urban,cereals _vop,1210700.75,Arusha
Arusha Urban,groundnut _vop,0,Arusha
Arusha Urban,pulses _vop,879155.837402344,Arusha
Arusha Urban,rice _vop,675304.90625,Arusha
Arusha Urban,sorghum _vop,51710.8017578125,Arusha
Arusha Urban,total _vop,16064270.25,Arusha
Arusha Urban,wheat _vop,0,Arusha
Babati,banana_and_plantain _vop,3586120.21160889,Manyara
Babati,bean _vop,12386991.1332092,Manyara
Babati,cassava _vop,122939.098674774,Manyara
Babati,cereals _vop,18080188.2553711,Manyara
Babati,groundnut _vop,196901.398880005,Manyara
Babati,pulses _vop,20652041.7000275,Manyara
Babati,rice _vop,2940714.31245041,Manyara
Babati,sorghum _vop,467165.801315308,Manyara
Babati,total _vop,64979600.6875,Manyara
Babati,wheat _vop,660185.008381844,Manyara
Babati Urban,banana_and_plantain _vop,471151.6953125,Manyara
Babati Urban,bean _vop,1353460.2265625,Manyara
Babati Urban,cassava _vop,21027.7005615234,Manyara
Babati Urban,cereals _vop,2153645.7109375,Manyara
Babati Urban,groundnut _vop,45109.099609375,Manyara
Babati Urban,pulses _vop,3036574.75,Manyara
Babati Urban,rice _vop,651280.50390625,Manyara
Babati Urban,sorghum _vop,49434.2993164063,Manyara
Babati Urban,total _vop,7731335.75,Manyara
Babati Urban,wheat _vop,33482.7001953125,Manyara
Bagamoyo,banana_and_plantain _vop,382802.298461914,Pwani
Bagamoyo,bean _vop,1263,Pwani
Bagamoyo,cassava _vop,22045965.9289246,Pwani
Bagamoyo,cereals _vop,30307370.7421722,Pwani
Bagamoyo,groundnut _vop,225.799995422363,Pwani
Bagamoyo,pulses _vop,8882635.15100098,Pwani
Bagamoyo,rice _vop,21585029.3427734,Pwani
Bagamoyo,sorghum _vop,1252658.10778427,Pwani
Bagamoyo,total _vop,128661935.764893,Pwani
Bagamoyo,wheat _vop,0,Pwani
Bahi,banana_and_plantain _vop,0,Dodoma
Bahi,bean _vop,0,Dodoma
Bahi,cassava _vop,1113273.59655762,Dodoma
Bahi,cereals _vop,7008670.7166748,Dodoma
Bahi,groundnut _vop,2414058.60791016,Dodoma
Bahi,pulses _vop,956079.598083496,Dodoma
Bahi,rice _vop,328954.896560669,Dodoma
Bahi,sorghum _vop,2134591.30446625,Dodoma
Bahi,total _vop,36681364.3969727,Dodoma
Bahi,wheat _vop,0,Dodoma
Bariadi,banana_and_plantain _vop,0,Simiyu
Bariadi,bean _vop,3446974.90505981,Simiyu
Bariadi,cassava _vop,1892277.4060173,Simiyu
Bariadi,cereals _vop,23023349.7590218,Simiyu
Bariadi,groundnut _vop,2475406.30314636,Simiyu
Bariadi,pulses _vop,12136628.290062,Simiyu
Bariadi,rice _vop,12093939.5394592,Simiyu
Bariadi,sorghum _vop,3235762.2118969,Simiyu
Bariadi,total _vop,66194668.2701721,Simiyu
Bariadi,wheat _vop,0,Simiyu
Biharamulo,banana_and_plantain _vop,9521617.71057129,Kagera
Biharamulo,bean _vop,5483560.4970398,Kagera
Biharamulo,cassava _vop,7227533.38565063,Kagera
Biharamulo,cereals _vop,6968275.77758789,Kagera
Biharamulo,groundnut _vop,1264363.28430176,Kagera
Biharamulo,pulses _vop,5854731.60993958,Kagera
Biharamulo,rice _vop,2155920.77160645,Kagera
Biharamulo,sorghum _vop,275480.602422714,Kagera
Biharamulo,total _vop,36651330.5478516,Kagera
Biharamulo,wheat _vop,0,Kagera
Buhigwe,banana_and_plantain _vop,23241581.3886719,Kigoma
Buhigwe,bean _vop,3016668.90625,Kigoma
Buhigwe,cassava _vop,220849.90625,Kigoma
Buhigwe,cereals _vop,2319024.3828125,Kigoma
Buhigwe,groundnut _vop,32298.2001953125,Kigoma
Buhigwe,pulses _vop,3526412.50390625,Kigoma
Buhigwe,rice _vop,155951,Kigoma
Buhigwe,sorghum _vop,0,Kigoma
Buhigwe,total _vop,48476030.90625,Kigoma
Buhigwe,wheat _vop,0,Kigoma
Bukoba Rural,banana_and_plantain _vop,15630965.65625,Kagera
Bukoba Rural,bean _vop,11910029.8203125,Kagera
Bukoba Rural,cassava _vop,5957870.6953125,Kagera
Bukoba Rural,cereals _vop,6048697.0078125,Kagera
Bukoba Rural,groundnut _vop,577171,Kagera
Bukoba Rural,pulses _vop,12192812.953125,Kagera
Bukoba Rural,rice _vop,1369351.08398438,Kagera
Bukoba Rural,sorghum _vop,1660689.19238281,Kagera
Bukoba Rural,total _vop,58820647.9375,Kagera
Bukoba Rural,wheat _vop,0,Kagera
Bukoba Urban,banana_and_plantain _vop,2228685.875,Kagera
Bukoba Urban,bean _vop,1115291.5625,Kagera
Bukoba Urban,cassava _vop,699152.6875,Kagera
Bukoba Urban,cereals _vop,787595.40625,Kagera
Bukoba Urban,groundnut _vop,0,Kagera
Bukoba Urban,pulses _vop,1642789,Kagera
Bukoba Urban,rice _vop,99399.1015625,Kagera
Bukoba Urban,sorghum _vop,78825.1015625,Kagera
Bukoba Urban,total _vop,8217871.25,Kagera
Bukoba Urban,wheat _vop,0,Kagera
Bukombe,banana_and_plantain _vop,270540.998348236,Geita
Bukombe,bean _vop,12674570.196167,Geita
Bukombe,cassava _vop,13419364.6459389,Geita
Bukombe,cereals _vop,21313285.0089645,Geita
Bukombe,groundnut _vop,7938029.68951797,Geita
Bukombe,pulses _vop,16303684.526062,Geita
Bukombe,rice _vop,11830449.5553284,Geita
Bukombe,sorghum _vop,154316.698755264,Geita
Bukombe,total _vop,75896671.5048828,Geita
Bukombe,wheat _vop,0,Geita
Bunda,banana_and_plantain _vop,0,Mara
Bunda,bean _vop,2275540.20985413,Mara
Bunda,cassava _vop,4581325.16342735,Mara
Bunda,cereals _vop,7999190.61959076,Mara
Bunda,groundnut _vop,276158.498733521,Mara
Bunda,pulses _vop,3748602.62106323,Mara
Bunda,rice _vop,1870381.38315582,Mara
Bunda,sorghum _vop,3081214.69192505,Mara
Bunda,total _vop,26393644.0184326,Mara
Bunda,wheat _vop,0,Mara
Busega,banana_and_plantain _vop,131271.298706055,Simiyu
Busega,bean _vop,1020477.30215454,Simiyu
Busega,cassava _vop,838941.390625,Simiyu
Busega,cereals _vop,7762409.453125,Simiyu
Busega,groundnut _vop,342152.397705078,Simiyu
Busega,pulses _vop,1729006.7175293,Simiyu
Busega,rice _vop,4328600.75390625,Simiyu
Busega,sorghum _vop,1093302.08984375,Simiyu
Busega,total _vop,18265451.7890625,Simiyu
Busega,wheat _vop,0,Simiyu
Butiama,banana_and_plantain _vop,0,Mara
Butiama,bean _vop,1159053.79638672,Mara
Butiama,cassava _vop,3875100.1875,Mara
Butiama,cereals _vop,3033353.3046875,Mara
Butiama,groundnut _vop,21021.1003265381,Mara
Butiama,pulses _vop,1170761.49951172,Mara
Butiama,rice _vop,739194.80078125,Mara
Butiama,sorghum _vop,965554.098632813,Mara
Butiama,total _vop,10405835.5234375,Mara
Butiama,wheat _vop,0,Mara
Chake,banana_and_plantain _vop,0,Kusini Pemba
Chake,bean _vop,0,Kusini Pemba
Chake,cassava _vop,2680889.6875,Kusini Pemba
Chake,cereals _vop,3840642.875,Kusini Pemba
Chake,groundnut _vop,63423.501953125,Kusini Pemba
Chake,pulses _vop,76264.6015625,Kusini Pemba
Chake,rice _vop,3790125.125,Kusini Pemba
Chake,sorghum _vop,4379.09991455078,Kusini Pemba
Chake,total _vop,8065459.25,Kusini Pemba
Chake,wheat _vop,0,Kusini Pemba
Chamwino,banana_and_plantain _vop,0,Dodoma
Chamwino,bean _vop,0,Dodoma
Chamwino,cassava _vop,1269473.29937744,Dodoma
Chamwino,cereals _vop,3698789.01800537,Dodoma
Chamwino,groundnut _vop,2173221.60412598,Dodoma
Chamwino,pulses _vop,2124791.79714966,Dodoma
Chamwino,rice _vop,59808.6003437042,Dodoma
Chamwino,sorghum _vop,1161218.50390053,Dodoma
Chamwino,total _vop,34543740.0981445,Dodoma
Chamwino,wheat _vop,0,Dodoma
Chato,banana_and_plantain _vop,6496233.82653809,Geita
Chato,bean _vop,4436766.83984375,Geita
Chato,cassava _vop,4904462.19824219,Geita
Chato,cereals _vop,6084081.52734375,Geita
Chato,groundnut _vop,929834.400573731,Geita
Chato,pulses _vop,4605910.06054688,Geita
Chato,rice _vop,1845550.51123047,Geita
Chato,sorghum _vop,230076.400756836,Geita
Chato,total _vop,28601295.9765625,Geita
Chato,wheat _vop,0,Geita
Chemba,banana_and_plantain _vop,0,Dodoma
Chemba,bean _vop,1266260.69313812,Dodoma
Chemba,cassava _vop,2049164.90594482,Dodoma
Chemba,cereals _vop,8882752.47106934,Dodoma
Chemba,groundnut _vop,2860548.48881531,Dodoma
Chemba,pulses _vop,18282378.9333038,Dodoma
Chemba,rice _vop,8165.5999546051,Dodoma
Chemba,sorghum _vop,2376962.79636383,Dodoma
Chemba,total _vop,53389278.5717773,Dodoma
Chemba,wheat _vop,0,Dodoma
Chunya,banana_and_plantain _vop,0,Mbeya
Chunya,bean _vop,4600355.01807404,Mbeya
Chunya,cassava _vop,1059101.89960098,Mbeya
Chunya,cereals _vop,19655020.8757019,Mbeya
Chunya,groundnut _vop,2403910.31603622,Mbeya
Chunya,pulses _vop,4674178.69393158,Mbeya
Chunya,rice _vop,1786193.59755516,Mbeya
Chunya,sorghum _vop,1463680.90011597,Mbeya
Chunya,total _vop,42082649.0402832,Mbeya
Chunya,wheat _vop,0,Mbeya
Dodoma Urban,banana_and_plantain _vop,0,Dodoma
Dodoma Urban,bean _vop,0,Dodoma
Dodoma Urban,cassava _vop,69821.1005859375,Dodoma
